kepoi_name,kepler_name,kepid,ra,dec,koi_period,koi_prad,koi_teq,koi_steff,koi_srad,koi_kepmag,koi_disposition
"K03444.02",,5384713,297.429200,40.561909,60.32668824,4.98,240.0,3705.00,0.5290,13.693,"CANDIDATE"
"K03444.03",,5384713,297.429200,40.561909,2.63595435,0.5,682.0,3705.00,0.5290,13.693,"CANDIDATE"
"K07780.01",,6451368,294.484040,41.869171,5.3360574,1.52,1667.0,6742.00,2.0320,12.691,"CANDIDATE"
"K03384.01",,8644365,298.095430,44.737061,10.54841329,3.89,899.0,6047.00,1.0920,13.204,"CANDIDATE"
"K07749.01",,5888187,295.273010,41.168282,133.6348207,1.89,317.0,5202.00,0.9180,13.623,"CANDIDATE"
"K03448.01",,3348216,292.960080,38.431431,32.510844,2.62,680.0,6074.00,1.3580,14.863,"CANDIDATE"
"K03451.01",,10793576,290.344420,48.147308,10.90752977,1.58,955.0,6414.00,1.1470,14.056,"CANDIDATE"
"K01899.02",,7047922,295.754120,42.537479,10.5226374,1.08,976.0,6327.00,1.1750,14.563,"CANDIDATE"
"K07750.01",,5894182,296.675380,41.164768,494.485085,5.03,379.0,6303.00,2.5530,12.088,"CANDIDATE"
"K03455.01",,6947668,291.507080,42.429878,14.0545718,1.45,711.0,5783.00,0.8800,15.802,"CANDIDATE"
"K00332.02",,10290666,297.650940,47.396290,6.86674226,0.79,1018.0,5914.00,1.1350,13.046,"CANDIDATE"
"K03389.01",,3848966,291.069370,38.914909,29.7681831,3.98,917.0,5640.00,2.9160,14.564,"CANDIDATE"
"K03391.01",,9452897,285.843870,46.015911,36.7662364,1.28,336.0,4342.00,0.5400,15.903,"CANDIDATE"
"K01750.02",,6209677,293.300230,41.523338,2.53742164,0.93,1220.0,5447.00,0.9170,14.800,"CANDIDATE"
"K03460.01",,9664276,297.379120,46.367069,62.596544,2.25,559.0,5934.00,1.5090,14.451,"CANDIDATE"
"K03394.01",,7748487,290.236020,43.470650,15.5764061,1.79,793.0,6214.00,1.0760,15.491,"CANDIDATE"
"K03395.01",,3219037,286.540410,38.332600,10.00506974,1.11,849.0,5912.00,0.9240,14.634,"CANDIDATE"
"K03396.01",,5710069,293.224400,40.931931,36.2580749,1.82,516.0,5818.00,0.8480,15.553,"CANDIDATE"
"K03462.01",,9967009,297.701970,46.823318,12.4326997,1.88,839.0,5480.00,1.2290,15.916,"CANDIDATE"
"K03462.02",,9967009,297.701970,46.823318,30.9902997,2.21,619.0,5480.00,1.2290,15.916,"CANDIDATE"
"K03397.01",,6200810,290.449280,41.535789,35.8754482,2.35,668.0,6559.00,1.2180,15.353,"CANDIDATE"
"K03398.03",,3561464,295.498110,38.644501,4.32710579,3.58,2004.0,5745.00,3.9550,13.489,"CANDIDATE"
"K03469.01",,4844470,294.250370,39.943939,60.532988,1.91,420.0,5631.00,0.8470,14.196,"CANDIDATE"
"K03470.01",,9995771,283.797820,46.931000,15.0617835,1.61,794.0,5806.00,1.1580,15.386,"CANDIDATE"
"K03401.01",,9966219,297.478390,46.815750,17.9559673,1.96,750.0,5641.00,1.1950,14.388,"CANDIDATE"
"K07773.01",,6231721,298.686070,41.521069,2.69339974,1.04,1151.0,5355.00,0.8630,15.673,"CANDIDATE"
"K03472.01",,9536108,295.638550,46.132549,10.43003118,1.14,906.0,6277.00,1.0310,14.412,"CANDIDATE"
"K03473.01",,8905246,298.075900,45.189030,27.63714708,6.96,816.0,5214.00,2.4270,13.851,"CANDIDATE"
"K07729.01",,5460434,295.195010,40.670841,50.563697,1.57,761.0,6759.00,2.0220,10.948,"CANDIDATE"
"K03408.01",,11922778,296.006900,50.281811,65.427645,1.65,453.0,6014.00,0.9260,14.821,"CANDIDATE"
"K01788.02",,2975770,287.737550,38.114559,369.069345,3.07,197.0,4855.00,0.7780,14.521,"CANDIDATE"
"K03337.01",,7692093,294.905940,43.381889,11.16622885,1.56,725.0,5552.00,0.8360,15.927,"CANDIDATE"
"K03339.01",,7772914,297.751920,43.447578,23.1334494,2.55,638.0,5712.00,0.9320,14.656,"CANDIDATE"
"K03340.01",,3529290,286.510190,38.618309,8.9539656,0.84,923.0,6168.00,0.9470,13.776,"CANDIDATE"
"K03340.02",,3529290,286.510190,38.618309,13.7281373,1.06,800.0,6168.00,0.9470,13.776,"CANDIDATE"
"K03411.01",,6025124,285.147800,41.388908,26.83771808,12.68,658.0,6194.00,1.0690,14.426,"CANDIDATE"
"K01681.03",,5531953,291.285000,40.730049,3.53105835,10.61,558.0,3638.00,0.4200,15.855,"CANDIDATE"
"K07774.01",,6277410,289.335510,41.683449,6.32589574,1.14,901.0,5749.00,0.8180,15.421,"CANDIDATE"
"K03480.01",,9843517,296.652560,46.618809,11.9378354,1.15,671.0,5469.00,0.7380,15.954,"CANDIDATE"
"K03481.01",,8812045,289.098450,45.023090,32.715906,3.68,902.0,5527.00,3.1920,14.462,"CANDIDATE"
"K03483.01",,3101923,287.322690,38.279709,82.331756,2.08,474.0,5997.00,1.2420,14.872,"CANDIDATE"
"K03341.01",,5621333,292.229770,40.808949,27.0965146,2.13,700.0,5775.00,1.3520,14.886,"CANDIDATE"
"K03341.02",,5621333,292.229770,40.808949,11.5474983,1.48,930.0,5775.00,1.3520,14.886,"CANDIDATE"
"K03343.01",,3236705,291.855220,38.393131,83.2664103,2.89,439.0,5538.00,1.1800,14.970,"CANDIDATE"
"K03416.01",,2849140,290.733280,38.007210,11.8237228,1.25,703.0,5559.00,0.8030,15.353,"CANDIDATE"
"K03486.01",,8121328,298.820620,43.909859,19.0689513,1.63,627.0,5418.00,0.8890,14.371,"CANDIDATE"
"K07759.01",,6043538,292.180570,41.315540,6.2253374,1.92,1378.0,6263.00,1.7260,14.918,"CANDIDATE"
"K03420.02",,7289338,294.015290,42.824371,12.5014905,2.24,952.0,5821.00,1.4920,15.589,"CANDIDATE"
"K03421.01",,5004909,289.919710,40.168530,40.6511021,1.7,651.0,6297.00,1.3690,13.935,"CANDIDATE"
"K07775.01",,6278670,289.727910,41.612289,89.945828,3.46,509.0,5115.00,1.9240,13.640,"CANDIDATE"
"K03422.01",,5898983,297.714870,41.104279,40.1454757,13.01,1640.0,7852.00,7.1620,13.201,"CANDIDATE"
"K07733.01",,5617259,290.960940,40.896198,1.048130894,4.52,3871.0,7673.00,3.2140,11.860,"CANDIDATE"
"K03495.01",,9474756,295.553740,46.029110,17.6062701,1.72,753.0,5808.00,1.1590,15.135,"CANDIDATE"
"K01562.02",,5308663,299.556000,40.456551,20.0679247,2.25,662.0,5997.00,0.9040,15.590,"CANDIDATE"
"K07776.01",,6356400,289.287720,41.799938,541.92452,3.15,144.0,4378.00,0.6140,15.671,"CANDIDATE"
"K03426.01",,5900235,298.000890,41.196991,58.7701045,1.57,508.0,6158.00,1.0130,14.324,"CANDIDATE"
"K03495.02",,9474756,295.553740,46.029110,6.685438,1.25,1040.0,5808.00,1.1590,15.135,"CANDIDATE"
"K03496.02",,7517261,288.421200,43.179794,8.5433774,1.58,1260.0,6602.00,1.6850,13.932,"CANDIDATE"
"K07744.01",,5877292,292.130490,41.165749,11.7201693,1.34,870.0,6193.00,1.0670,15.171,"CANDIDATE"
"K03354.01",,9845909,297.377470,46.661652,11.5706005,1.33,771.0,5718.00,0.9000,15.089,"CANDIDATE"
"K03355.01",,9221528,293.134090,45.626869,16.2953228,1.6,773.0,6187.00,1.0130,15.110,"CANDIDATE"
"K07762.01",,6106046,285.237150,41.497532,8.5073512,1.38,891.0,5914.00,0.9550,15.330,"CANDIDATE"
"K03429.01",,9230021,296.196140,45.634331,15.8283833,1.8,758.0,5596.00,1.1450,15.364,"CANDIDATE"
"K03500.02",,6058816,296.354610,41.335560,4.7482669,1.57,1690.0,6056.00,2.4810,13.214,"CANDIDATE"
"K03358.01",,4263529,291.889070,39.361771,10.10404351,4.05,752.0,5530.00,0.8310,14.031,"CANDIDATE"
"K03430.01",,7697103,296.382690,43.386589,13.9248005,0.9,588.0,5271.00,0.6480,15.712,"CANDIDATE"
"K03431.01",,9267996,285.222560,45.708740,19.6001405,2.08,676.0,6003.00,0.9320,13.874,"CANDIDATE"
"K03433.01",,7093401,282.346130,42.608910,34.08429351,36.05,506.0,5252.00,0.9220,15.417,"CANDIDATE"
"K03823.01",,4820550,286.771450,39.983822,202.1168173,5.8,286.0,5536.00,0.9170,13.922,"CANDIDATE"
"K03749.01",,11547869,285.007720,49.503979,10.72725536,12.85,307.0,3324.00,0.2680,16.415,"CANDIDATE"
"K02093.02",,6525946,292.954160,41.934799,2.508116,12.28,3662.0,5096.00,8.7690,15.357,"CANDIDATE"
"K02018.02",,9973109,299.526000,46.899261,16.0988294,1.14,705.0,5657.00,0.9110,14.550,"CANDIDATE"
"K03909.01",,5966810,293.818300,41.211460,247.891041,4.74,367.0,6121.00,1.5360,14.948,"CANDIDATE"
"K07793.01",,6863158,291.852050,42.343361,1.99469354,0.46,758.0,3799.00,0.5100,15.846,"CANDIDATE"
"K03761.01",,8308347,294.897490,44.215790,164.950399,11.23,252.0,5001.00,0.6640,15.473,"CANDIDATE"
"K03913.01",,10281221,294.612520,47.343262,0.582895412,5.87,2347.0,6263.00,1.0090,14.972,"CANDIDATE"
"K02093.03",,6525946,292.954160,41.934799,0.496069986,10,6285.0,5096.00,8.7690,15.357,"CANDIDATE"
"K03689.01",,7017372,285.971800,42.545712,5.24088367,12.74,1320.0,6452.00,1.3050,14.014,"CANDIDATE"
"K02055.04",,3128552,294.152710,38.233040,6.13074243,1.26,916.0,5741.00,0.8330,14.523,"CANDIDATE"
"K07795.01",,6887030,297.872800,42.303291,5.44085762,0.97,892.0,5519.00,0.7620,14.810,"CANDIDATE"
"K03767.01",,8323764,299.080570,44.295010,6.714247798,14.78,809.0,5159.00,0.8000,17.376,"CANDIDATE"
"K03770.01",,5008245,290.936710,40.124920,2.60720833,7.31,1561.0,6366.00,1.2360,14.103,"CANDIDATE"
"K03777.01",,4075067,295.869450,39.158810,17.7476059,146.63,1998.0,8992.00,4.8320,11.500,"CANDIDATE"
"K02059.02",,12301181,287.590090,51.060570,2.18565886,0.44,1087.0,4997.00,0.7460,12.906,"CANDIDATE"
"K07796.01",,6891124,298.728210,42.372631,3.52364689,0.94,1330.0,6269.00,1.0850,14.460,"CANDIDATE"
"K02029.04",,9489524,299.896510,46.051971,4.78850084,0.63,889.0,5208.00,0.7720,12.957,"CANDIDATE"
"K03787.01",,7813039,288.439120,43.505249,141.73403059,10.3,329.0,5606.00,0.9180,13.891,"CANDIDATE"
"K07785.01",,6531617,294.627140,41.933182,433.220461,2.07,203.0,5232.00,0.7770,14.546,"CANDIDATE"
"K03864.02",,4164922,293.344970,39.257809,18.2572722,0.94,547.0,5014.00,0.7560,12.914,"CANDIDATE"
"K03722.01",,8365739,291.887540,44.345619,2.38920105,,,,,15.366,"CANDIDATE"
"K03801.01",,8827930,295.206940,45.098190,288.3128666,13.21,300.0,5672.00,1.2200,15.999,"CANDIDATE"
